Code,Name,Category
27890611000001109,Umeclidinium bromide 65micrograms/dose dry powder inhaler,COPD medication - LAMA/LABA
28357211000001106,Duaklir 340micrograms/dose / 12micrograms/dose Genuair (Covis Pharma GmbH),COPD medication - mix LAMA/LABA
25254111000001105,DuoResp Spiromax 160micrograms/dose / 4.5micrograms/dose dry powder inhaler (Teva UK Ltd),COPD medication - mix steroid/LABA
25254711000001106,DuoResp Spiromax 320micrograms/dose / 9micrograms/dose dry powder inhaler (Teva UK Ltd),COPD medication - mix steroid/LABA
38897411000001103,Fluticasone propionate 500micrograms/dose / Salmeterol 50micrograms/dose dry powder inhaler,COPD medication - mix steroid/LABA
1.29064E+16,Fostair 100micrograms/dose / 6micrograms/dose inhaler (Chiesi Ltd),COPD medication - mix steroid/LABA
34952211000001104,Trelegy Ellipta 92micrograms/dose / 55micrograms/dose / 22micrograms/dose dry powder inhaler (GlaxoSmithKline UK Ltd),COPD medication - mix steroid/LAMA/LABA
3.46816E+16,Trimbow 87micrograms/dose / 5micrograms/dose / 9micrograms/dose inhaler (Chiesi Ltd),COPD medication - mix steroid/LAMA/LABA
39993311000001105,Trimbow NEXThaler 88micrograms/dose / 5micrograms/dose / 9micrograms/dose dry powder inhaler (Chiesi Ltd),COPD medication - mix steroid/LAMA/LABA
42292811000001102,Carbocisteine 375mg capsules,COPD medication - mucolytic
39417611000001109,Carbocisteine 750mg capsules,COPD medication - mucolytic
42292311000001106,Beclometasone 100micrograms/dose inhaler,COPD medication - steroid
35908811000001103,Beclometasone 250micrograms/dose inhaler,COPD medication - steroid
4378111000001103,Budesonide 400micrograms/dose / Formoterol 12micrograms/dose dry powder inhaler,COPD medication - steroid
170662003,Using inhaled steroids - high dose,COPD medication - steroid
161929000,Chesty cough,Cough
68154008,Chronic cough,Cough
49727002,Cough,Cough
11833005,Dry cough,Cough
161923004,Productive cough -clear sputum,Cough
284523002,Persistent cough,Cough
161924005,Productive cough -green sputum,Cough
168302007,Sputum sent for C/S,Cough test
40801911000001102,"COVID-19 Vaccine Spikevax 0 (Zero)/O (Omicron) 0.1mg/ml dispersion for injection multidose vials (Moderna, Inc)",Covid vaccine
77477000,Computerised tomograph scan,CT scan
169069000,CT of chest,CT scan
176185005,Diagnostic cystoscopy using flexible instrument,Cystoscopy
285055002,Hearing aid worn,Deafness
162340000,Hearing difficulty,Deafness
698464007,At risk of dementia,Dementia
880571000000101,Dementia screening declined,Dementia test
756511000000104,General practitioner assessment of cognition patient score,Dementia test
247602005,Memory function normal,Dementia test
1034921000000105,Memory: months of year in reverse unsuccessful,Dementia test
415276009,Referral to memory clinic,Dementia test
888901000000102,Initial memory assessment,Dementia test
888881000000100,Initial memory assessment declined,Dementia test
35914111000001102,Bupropion 150mg modified-release tablets,Depression medication
200971000000100,Depression screening using questions,Depression test
394668001,10g monofilament sensation L foot abnormal,Diabetes
394667006,10g monofilament sensation R foot abnormal,Diabetes
887861000000105,Diabetes Year of Care annual review,Diabetes
170774007,Diabetes: practice programme,Diabetes
170763003,Diabetic - good control,Diabetes
754081000000109,Diabetic dietary review,Diabetes
367011000000100,Diabetic foot screen,Diabetes
170745003,Diabetic on diet only,Diabetes
768291000000101,Frequency of blood glucose self-monitoring,Diabetes
385805005,Health education - diabetes,Diabetes
313340009,Seen in diabetic eye clinic,Diabetes
397881000,Diverticular disease,Diverticular disease
307496006,Diverticulitis,Diverticular disease
473327001,C/O erectile dysfunction,Erectile dysfunction
473328006,Does not complain of erectile dysfunction,Erectile dysfunction - not
42089311000001109,Sildenafil 100mg tablets,Erectile dysfunction medication
42090111000001101,Tadalafil 20mg tablets,Erectile dysfunction medication
